id,incident_id,event_type,title,description,metadata,timestamp
evt-003-04,inc-003,parent_notified,Parent Notified,Kiran Patel notified with anaphylaxis alert,"{""alert_type"": ""anaphylaxis""}","2026-05-31T08:02:15.000Z"
evt-003-05,inc-003,ambulance_dispatched,Ambulance Dispatched,AMB-108-05 dispatched from Mehdipatnam,"{""ambulance_id"": ""amb-005"", ""eta_min"": 8}","2026-05-31T08:02:30.000Z"
evt-003-06,inc-003,epipen_administered,EpiPen Administered,Bystander administered EpiPen under paramedic phone guidance,"{""time_to_epipen_min"": 3.5}","2026-05-31T08:05:30.000Z"
evt-003-07,inc-003,ambulance_arrived,Ambulance On Scene,AMB-108-05 arrived at Charminar Bus Stand,"{""response_time_min"": 6.8}","2026-05-31T08:08:50.000Z"
evt-003-08,inc-003,hospital_alerted,Hospital Alerted,Niloufer PICU alerted for anaphylaxis case,"{""hospital_id"": ""hosp-002"", ""alert_type"": ""PICU_anaphylaxis""}","2026-05-31T08:03:00.000Z"
evt-003-09,inc-003,status_en_route,Child Being Transported,AMB-108-05 transporting Diya to Niloufer Hospital,"{""destination"": ""hosp-002""}","2026-05-31T08:10:00.000Z"
evt-004-01,inc-004,vitals_critical,Hypoglycemia Alert Triggered,Heart rate 44 bpm bradycardia with fever 38.4°C at Nampally Metro Station,"{""hr"": 44, ""temp"": 38.4, ""alert"": ""hypoglycemia""}","2026-05-31T08:05:00.000Z"
evt-004-02,inc-004,incident_created,Incident Created,Critical diabetic emergency incident created,"{""trigger"": ""low_hr+fever+diabetes_flag""}","2026-05-31T08:05:05.000Z"
evt-004-03,inc-004,parent_notified,Parent Notified,Venkat Varma notified with diabetic emergency alert,"{}"  ,"2026-05-31T08:05:10.000Z"
evt-004-04,inc-004,ambulance_dispatched,Ambulance Dispatched,AMB-108-07 dispatched from Nampally,"{""ambulance_id"": ""amb-007"", ""eta_min"": 3}","2026-05-31T08:05:20.000Z"
evt-004-05,inc-004,ambulance_arrived,Ambulance On Scene,AMB-108-07 arrived in 4 minutes,"{""response_time_min"": 4.1}","2026-05-31T08:09:00.000Z"
evt-004-06,inc-004,glucose_administered,IV Glucose Administered,Paramedic administered 10% dextrose IV drip,"{""intervention"": ""IV_glucose""}","2026-05-31T08:10:00.000Z"
evt-004-07,inc-004,status_transporting,Child Being Transported,AMB-108-07 transporting Lakshmi Priya to NIMS Punjagutta,"{""destination"": ""hosp-009""}","2026-05-31T08:11:00.000Z"
evt-005-01,inc-005,device_impact_detected,Impact Detected,Bicycle accident detected near Uppal X Roads,"{""impact_magnitude"": 12.5}","2026-05-31T08:07:00.000Z"
evt-005-02,inc-005,incident_created,Incident Created,Moderate bicycle accident incident created,"{}"  ,"2026-05-31T08:07:05.000Z"
evt-005-03,inc-005,parent_notified,Parent Notified,Suresh Reddy notified,"{}"  ,"2026-05-31T08:07:10.000Z"
evt-005-04,inc-005,ambulance_dispatched,Ambulance Dispatched,AMB-108-09 dispatched from Uppal station,"{""eta_min"": 5}","2026-05-31T08:08:00.000Z"
evt-005-05,inc-005,ambulance_arrived,Ambulance On Scene,AMB-108-09 arrived at scene,"{""response_time_min"": 7.2}","2026-05-31T08:14:00.000Z"
evt-006-01,inc-006,alert_triggered,Asthma Attack Alert,Elevated HR 128 bpm with SpO2 drop pattern detected,"{""hr"": 128, ""alert"": ""asthma""}","2026-05-31T08:09:00.000Z"
evt-006-02,inc-006,incident_created,Incident Created,Severe asthma attack incident created,"{}"  ,"2026-05-31T08:09:05.000Z"
evt-006-03,inc-006,parent_notified,Parent Notified,Srinivasan Iyer notified with asthma alert,"{}"  ,"2026-05-31T08:09:15.000Z"
evt-006-04,inc-006,ambulance_dispatched,Ambulance Dispatched,AMB-108-11 dispatched from Banjara Hills station,"{""eta_min"": 4}","2026-05-31T08:09:20.000Z"
evt-006-05,inc-006,nebulization_given,Nebulization Administered,Salbutamol nebulization administered by paramedic on arrival,"{""drug"": ""Salbutamol"", ""route"": ""nebulization""}","2026-05-31T08:13:30.000Z"
evt-006-06,inc-006,status_en_route,Child Being Transported,AMB-108-11 transporting Kavya to Rainbow Children's Hospital,"{""destination"": ""hosp-003""}","2026-05-31T08:15:00.000Z"
evt-009-01,inc-009,seizure_detected,Seizure Activity Detected,Repetitive high-acceleration movements detected — seizure protocol activated,"{""pattern"": ""repetitive_tremor"", ""duration_sec"": 65}","2026-05-31T08:07:00.000Z"
evt-009-02,inc-009,incident_created,Incident Created,Critical seizure incident created for Vivaan Joshi,"{""severity"": ""critical""}","2026-05-31T08:07:05.000Z"
evt-009-03,inc-009,parent_notified,Parent Notified,Prakash Joshi notified with seizure emergency alert,"{""alert_type"": ""seizure""}","2026-05-31T08:07:10.000Z"
evt-009-04,inc-009,ambulance_dispatched,Ambulance Dispatched,AMB-MEDCAB-01 ICU ambulance dispatched from Dilsukhnagar,"{""ambulance_id"": ""amb-020"", ""eta_min"": 2}","2026-05-31T08:07:15.000Z"
evt-009-05,inc-009,seizure_stopped,Seizure Stopped,Paramedic reports seizure activity has subsided,"{""seizure_duration_min"": 1.2}","2026-05-31T08:10:00.000Z"
evt-009-06,inc-009,hospital_alerted,Hospital Alerted,Gleneagles LB Nagar paediatric team on standby,"{""hospital_id"": ""hosp-012""}","2026-05-31T08:07:20.000Z"
evt-009-07,inc-009,status_en_route,Child Being Transported,Vivaan being transported to Gleneagles LB Nagar,"{""destination"": ""hosp-012""}","2026-05-31T08:12:00.000Z"
evt-010-01,inc-010,device_impact_detected,Mild Impact Detected,Mild cricket-related impact detected at Gymkhana ground,"{""impact_magnitude"": 4.1}","2026-05-31T07:30:00.000Z"
evt-010-02,inc-010,incident_created,Incident Created,Minor sports injury incident created for Rithvik Naidu,"{}"  ,"2026-05-31T07:30:05.000Z"
evt-010-03,inc-010,parent_notified,Parent Notified,Venkata Naidu notified,"{}"  ,"2026-05-31T07:30:10.000Z"
evt-010-04,inc-010,ambulance_dispatched,Ambulance Dispatched,AMB-108-08 dispatched as precaution,"{""eta_min"": 6}","2026-05-31T07:31:00.000Z"
evt-010-05,inc-010,ambulance_arrived,Ambulance On Scene,AMB-108-08 arrived at Gymkhana,"{}"  ,"2026-05-31T07:36:00.000Z"
evt-010-06,inc-010,status_at_hospital,Arrived at Hospital,Rithvik transported to KIMS Secunderabad for X-ray,"{""hospital_id"": ""hosp-004""}","2026-05-31T08:00:00.000Z"
evt-010-07,inc-010,incident_resolved,Incident Resolved,Minor ankle sprain confirmed. No fracture. Discharged.,"{""diagnosis"": ""Grade 1 ankle sprain"", ""discharged"": true}","2026-05-31T09:15:00.000Z"
