"id","route_name","school_name","start_location_name","end_location_name","route_points","coverage_score","avg_response_time_min","avg_ambulance_distance_km","incident_count","total_children_on_route","gap_count","gaps","recommended_post_lat","recommended_post_lon","recommended_post_name","projected_response_time_min","is_high_risk","last_analyzed","created_at"
"ra-jubilee-a-001","Jubilee Hills – Banjara Hills – Film Nagar Route","Bharatiya Vidya Bhavan Jubilee Hills","Bharatiya Vidya Bhavan, Road No. 45, Jubilee Hills","Film Nagar Police Station, Hyderabad","[{""lat"": 17.4178, ""lon"": 78.4345}, {""lat"": 17.4198, ""lon"": 78.444}, {""lat"": 17.422, ""lon"": 78.425}, {""lat"": 17.4241, ""lon"": 78.4082}]","95.1","4.8","1.4","0","46","0","","","","","","false","2026-05-31T14:01:17.000Z","2025-01-01T00:00:00.000Z"
"ra-hps-a-001","HPS Begumpet – Secunderabad – Bolarum Route","Hyderabad Public School Begumpet","HPS School Gate, Begumpet, Hyderabad","Bolarum Cross Roads, Medchal-Malkajgiri","[{""lat"": 17.4432, ""lon"": 78.4674}, {""lat"": 17.4441, ""lon"": 78.4986}, {""lat"": 17.49, ""lon"": 78.5}, {""lat"": 17.528, ""lon"": 78.51}]","54.9","13.2","6.8","0","50","3","[{""lat"": 17.49, ""lon"": 78.5, ""severity"": ""critical"", ""distanceKm"": 7.4}, {""lat"": 17.51, ""lon"": 78.505, ""severity"": ""critical"", ""distanceKm"": 8.1}, {""lat"": 17.528, ""lon"": 78.51, ""severity"": ""moderate"", ""distanceKm"": 5.2}]","17.49","78.5","Bolarum NH-44 EMS Post (Near Army Cantonment Gate)","8","true","2026-05-31T14:01:17.000Z","2025-01-01T00:00:00.000Z"
"ra-hps-b-001","HPS Begumpet – Ameerpet – SR Nagar Route","Hyderabad Public School Begumpet","HPS School Gate, Begumpet, Hyderabad","SR Nagar X Roads, Hyderabad","[{""lat"": 17.4432, ""lon"": 78.4674}, {""lat"": 17.438, ""lon"": 78.442}, {""lat"": 17.435, ""lon"": 78.432}, {""lat"": 17.44, ""lon"": 78.425}]","86.4","6.8","2.5","0","44","0","","","","","","false","2026-05-31T14:01:17.000Z","2025-01-01T00:00:00.000Z"
"ra-madhapur-a-001","Madhapur – Kondapur – Gachibowli Route","Indus International School","Indus International School, HITEC City Road, Madhapur","Gachibowli Stadium, Hyderabad","[{""lat"": 17.4477, ""lon"": 78.3742}, {""lat"": 17.435, ""lon"": 78.368}, {""lat"": 17.425, ""lon"": 78.362}, {""lat"": 17.4126, ""lon"": 78.3601}]","92.7","5.0","1.6","0","48","0","","","","","","false","2026-05-31T14:01:17.000Z","2025-01-01T00:00:00.000Z"
"ra-himayat-a-001","Himayatnagar – Narayanguda – Kachiguda Route","Vidyaranya High School Himayatnagar","Vidyaranya High School, Himayatnagar, Hyderabad","Kachiguda Railway Station, Hyderabad","[{""lat"": 17.4065, ""lon"": 78.4827}, {""lat"": 17.395, ""lon"": 78.48}, {""lat"": 17.385, ""lon"": 78.478}, {""lat"": 17.381, ""lon"": 78.482}]","83.9","7.1","2.6","0","46","1","[{""lat"": 17.385, ""lon"": 78.478, ""severity"": ""moderate"", ""distanceKm"": 3.5}]","17.385","78.478","Narayanguda Bus Stop EMS Outpost","5","false","2026-05-31T14:01:17.000Z","2025-01-01T00:00:00.000Z"
"ra-abids-a-001","Abids – Nampally – Lakdikapul Route","Little Flower High School Abids","Little Flower High School, Abids, Hyderabad","Lakdikapul Junction, Hyderabad","[{""lat"": 17.393, ""lon"": 78.4551}, {""lat"": 17.398, ""lon"": 78.46}, {""lat"": 17.401, ""lon"": 78.462}, {""lat"": 17.4048, ""lon"": 78.4656}]","96.3","4.2","1.1","0","52","0","","","","","","false","2026-05-31T14:01:17.000Z","2025-01-01T00:00:00.000Z"
"ra-kompally-a-001","Kompally – Alwal – Secunderabad Route","Narayana Olympiad School Kompally","Narayana Olympiad School, Kompally Main Road, Hyderabad","Secunderabad Station Road","[{""lat"": 17.5387, ""lon"": 78.4768}, {""lat"": 17.518, ""lon"": 78.504}, {""lat"": 17.49, ""lon"": 78.5}, {""lat"": 17.4441, ""lon"": 78.4986}]","59.1","12.8","6.2","1","50","2","[{""lat"": 17.5387, ""lon"": 78.4768, ""severity"": ""critical"", ""distanceKm"": 8.4}, {""lat"": 17.518, ""lon"": 78.504, ""severity"": ""critical"", ""distanceKm"": 7.1}]","17.528","78.49","Kompally–Alwal Crossroads EMS Post (NH-44)","7","true","2026-05-31T14:01:17.000Z","2025-01-01T00:00:00.000Z"
"ra-kompally-b-001","Kompally – Medchal – Jeedimetla Route","Narayana Olympiad School Kompally","Narayana Olympiad School, Kompally Main Road, Hyderabad","Jeedimetla Industrial Area Gate, Hyderabad","[{""lat"": 17.5387, ""lon"": 78.4768}, {""lat"": 17.52, ""lon"": 78.46}, {""lat"": 17.51, ""lon"": 78.445}, {""lat"": 17.4999, ""lon"": 78.4286}]","56.8","14.1","7.0","0","44","3","[{""lat"": 17.5387, ""lon"": 78.4768, ""severity"": ""critical"", ""distanceKm"": 9.0}, {""lat"": 17.52, ""lon"": 78.46, ""severity"": ""critical"", ""distanceKm"": 7.5}, {""lat"": 17.51, ""lon"": 78.445, ""severity"": ""moderate"", ""distanceKm"": 5.0}]","17.52","78.46","Medchal Road EMS Station (Near IDPL Gate)","8","true","2026-05-31T14:01:17.000Z","2025-01-01T00:00:00.000Z"
"ra-stanns-a-001","Secunderabad – Marredpally – East Marredpally Route","St. Ann's High School Secunderabad","St. Ann's High School Gate East, Secunderabad","East Marredpally Main Road Junction","[{""lat"": 17.4441, ""lon"": 78.4986}, {""lat"": 17.453, ""lon"": 78.505}, {""lat"": 17.46, ""lon"": 78.51}, {""lat"": 17.468, ""lon"": 78.518}]","80.6","7.5","2.9","0","48","1","[{""lat"": 17.468, ""lon"": 78.518, ""severity"": ""moderate"", ""distanceKm"": 4.0}]","17.468","78.518","East Marredpally EMS Outpost","5","false","2026-05-31T14:01:17.000Z","2025-01-01T00:00:00.000Z"
"ra-lbnagar-a-001","LB Nagar – Saroor Nagar – Dilsukhnagar Route","The Shishuvan School LB Nagar","The Shishuvan School, LB Nagar Circle, Hyderabad","Dilsukhnagar Bus Depot, Hyderabad","[{""lat"": 17.3451, ""lon"": 78.551}, {""lat"": 17.358, ""lon"": 78.54}, {""lat"": 17.368, ""lon"": 78.528}, {""lat"": 17.393, ""lon"": 78.5212}]","68.4","9.8","4.4","2","44","2","[{""lat"": 17.358, ""lon"": 78.54, ""severity"": ""moderate"", ""distanceKm"": 4.9}, {""lat"": 17.368, ""lon"": 78.528, ""severity"": ""critical"", ""distanceKm"": 5.7}]","17.363","78.534","Saroor Nagar EMS Post (Near GHMC Park)","6","true","2026-05-31T14:01:17.000Z","2025-01-01T00:00:00.000Z"
"ra-mehdipatnam-a-001","Mehdipatnam – Tolichowki – Attapur Route","St. Francis De Sales High School Mehdipatnam","St. Francis De Sales High School, Mehdipatnam, Hyderabad","Attapur Ring Road Junction, Hyderabad","[{""lat"": 17.3955, ""lon"": 78.4356}, {""lat"": 17.388, ""lon"": 78.415}, {""lat"": 17.378, ""lon"": 78.401}, {""lat"": 17.37, ""lon"": 78.39}]","48.2","15.6","8.1","0","40","3","[{""lat"": 17.388, ""lon"": 78.415, ""severity"": ""critical"", ""distanceKm"": 8.8}, {""lat"": 17.378, ""lon"": 78.401, ""severity"": ""critical"", ""distanceKm"": 9.2}, {""lat"": 17.37, ""lon"": 78.39, ""severity"": ""critical"", ""distanceKm"": 10.1}]","17.383","78.408","Tolichowki Junction EMS Post (Outer Ring Road Spur)","9","true","2026-05-31T14:01:17.000Z","2025-01-01T00:00:00.000Z"
"ra-charminar-a-001","Charminar – Abids – Nampally Route","Nizam College School Old City","Nizam College School, Nampally, Hyderabad","Charminar Road, Old City, Hyderabad","[{""lat"": 17.393, ""lon"": 78.4551}, {""lat"": 17.3837, ""lon"": 78.4734}, {""lat"": 17.372, ""lon"": 78.472}, {""lat"": 17.36, ""lon"": 78.4741}]","71.8","9.0","3.5","1","36","1","[{""lat"": 17.36, ""lon"": 78.4741, ""severity"": ""moderate"", ""distanceKm"": 4.4}]","17.366","78.473","Shalibanda EMS Outpost (Old City Corridor)","6","false","2026-05-31T14:01:17.000Z","2025-01-01T00:00:00.000Z"
"ra-uppal-a-001","Uppal – Ramanthapur – Habsiguda Route","Ratna Bala English Medium School Uppal","Ratna Bala School, Uppal Main Road, Hyderabad","Habsiguda X Roads, Hyderabad","[{""lat"": 17.3987, ""lon"": 78.5538}, {""lat"": 17.405, ""lon"": 78.538}, {""lat"": 17.41, ""lon"": 78.522}, {""lat"": 17.412, ""lon"": 78.51}]","75.5","8.3","3.2","1","38","1","[{""lat"": 17.3987, ""lon"": 78.5538, ""severity"": ""moderate"", ""distanceKm"": 4.6}]","17.3987","78.5538","Uppal Metro Station EMS Post","5","false","2026-05-31T14:01:17.000Z","2025-01-01T00:00:00.000Z"
"ra-dilsukh-a-001","Dilsukhnagar – Kothapet – Nagole Route","Sri Chaitanya Techno School Dilsukhnagar","Sri Chaitanya School, Dilsukhnagar Main Road, Hyderabad","Nagole Bus Depot, Hyderabad","[{""lat"": 17.368, ""lon"": 78.5265}, {""lat"": 17.362, ""lon"": 78.54}, {""lat"": 17.355, ""lon"": 78.549}, {""lat"": 17.35, ""lon"": 78.558}]","63.4","10.9","5.0","0","42","2","[{""lat"": 17.355, ""lon"": 78.549, ""severity"": ""moderate"", ""distanceKm"": 5.3}, {""lat"": 17.35, ""lon"": 78.558, ""severity"": ""critical"", ""distanceKm"": 6.1}]","17.353","78.5535","Nagole Junction EMS Post (ORR)","7","true","2026-05-31T14:01:17.000Z","2025-01-01T00:00:00.000Z"
"ra-rajendranagar-a-001","Rajendranagar – Shamshabad – RGIA Route","Delhi Public School Rajendranagar","Delhi Public School, Rajendranagar, Hyderabad","RGIA Bus Terminal, Shamshabad","[{""lat"": 17.3265, ""lon"": 78.4219}, {""lat"": 17.3, ""lon"": 78.435}, {""lat"": 17.275, ""lon"": 78.45}, {""lat"": 17.2499, ""lon"": 78.4294}]","42.3","18.4","10.2","0","46","3","[{""lat"": 17.3, ""lon"": 78.435, ""severity"": ""critical"", ""distanceKm"": 11.5}, {""lat"": 17.275, ""lon"": 78.45, ""severity"": ""critical"", ""distanceKm"": 12.3}, {""lat"": 17.2499, ""lon"": 78.4294, ""severity"": ""critical"", ""distanceKm"": 13.8}]","17.287","78.442","Shamshabad Junction EMS Station (NH-44 Airport Corridor)","10","true","2026-05-31T14:01:17.000Z","2025-01-01T00:00:00.000Z"
"ra-jeedimetla-a-001","Jeedimetla – Balanagar – Moosapet Route","Suchitra Academy Jeedimetla","Suchitra Academy, Jeedimetla Industrial Area, Hyderabad","Moosapet Metro Station, Hyderabad","[{""lat"": 17.4999, ""lon"": 78.4286}, {""lat"": 17.485, ""lon"": 78.42}, {""lat"": 17.47, ""lon"": 78.418}, {""lat"": 17.455, ""lon"": 78.42}]","66.2","10.0","4.7","0","40","2","[{""lat"": 17.4999, ""lon"": 78.4286, ""severity"": ""critical"", ""distanceKm"": 5.9}, {""lat"": 17.485, ""lon"": 78.42, ""severity"": ""moderate"", ""distanceKm"": 4.3}]","17.49","78.424","IDPL Road EMS Outpost (Jeedimetla–Balanagar)","6","true","2026-05-31T14:01:17.000Z","2025-01-01T00:00:00.000Z"
