id,name,commissionerate,zone,district,latitude,longitude,address,phone,emergency_phone,sho_name,created_at
ps-011,Madhapur Police Station,Cyberabad Metropolitan Police,Madhapur ACP Division,Rangareddy,17.4477,78.3912,"Hitech City Road, Near Kavuri Hills, Madhapur, Hyderabad, Telangana 500033",+91-87126-62340,+91-40-23119300,Insp. V. Rajesh,2025-01-01T00:00:00.000Z
ps-012,Gachibowli Police Station,Cyberabad Metropolitan Police,Madhapur ACP Division,Rangareddy,17.4126,78.3601,"Opposite ISB, Gachibowli, Financial District, Hyderabad, Telangana 500032",+91-87126-62341,+91-40-23009500,Insp. P. Venkatesh,2025-01-01T00:00:00.000Z
ps-013,Raidurgam Police Station,Cyberabad Metropolitan Police,Madhapur ACP Division,Rangareddy,17.4228,78.3819,"Raidurgam X Roads, HITEC City, Hyderabad, Telangana 500081",+91-87126-62342,+91-40-23119200,Insp. S. Kavitha,2025-01-01T00:00:00.000Z
ps-014,Rajendranagar Police Station,Cyberabad Metropolitan Police,Rajendranagar ACP Division,Rangareddy,17.3265,78.4219,"Rajendranagar Main Road, Near RGIA Junction, Hyderabad, Telangana 500030",+91-87126-62350,+91-40-24011100,Insp. K. Ramesh Babu,2025-01-01T00:00:00.000Z
ps-015,Kukatpally Police Station,Cyberabad Metropolitan Police,Balanagar ACP Division,Rangareddy,17.485,78.3979,"KPHB Colony Main Road, Kukatpally, Hyderabad, Telangana 500072",+91-87126-62360,+91-40-23055000,Insp. N. Sunitha,2025-01-01T00:00:00.000Z
ps-016,Uppal Police Station,Malkajgiri Police Commissionerate,LB Nagar Zone,Medchal-Malkajgiri,17.3987,78.5538,"Inner Ring Road, Near Uppal Metro Station, Uppal X Roads, Hyderabad, Telangana 500039",+91-87126-65001,+91-40-27152001,Insp. B. Ravi Kumar,2025-01-01T00:00:00.000Z
ps-017,Nacharam Police Station,Malkajgiri Police Commissionerate,Malkajgiri Zone,Medchal-Malkajgiri,17.4211,78.5325,"Nacharam Main Road, Near DPS Nacharam, Hyderabad, Telangana 500076",+91-87126-65002,+91-40-27155002,Insp. V. Kishore,2025-01-01T00:00:00.000Z
ps-018,Kompally Police Station,Malkajgiri Police Commissionerate,Medchal Zone,Medchal-Malkajgiri,17.5387,78.4768,"Kompally Main Road, Near Kompally Junction, Hyderabad, Telangana 500014",+91-87126-65010,+91-40-27197010,Insp. D. Satyam,2025-01-01T00:00:00.000Z
ps-019,Jeedimetla Police Station,Malkajgiri Police Commissionerate,Malkajgiri Zone,Medchal-Malkajgiri,17.4999,78.4286,"Jeedimetla Industrial Area, Near IDPL Gate, Hyderabad, Telangana 500055",+91-87126-65015,+91-40-23087015,Insp. R. Nagaraju,2025-01-01T00:00:00.000Z
ps-020,Himayatnagar Police Station,Hyderabad City Police,Central Zone,Hyderabad,17.4065,78.4827,"Himayatnagar Main Road, Near Telugu Talli Flyover, Hyderabad, Telangana 500029",+91-98487-78310,+91-40-23237800,Insp. M. Padmavathi,2025-01-01T00:00:00.000Z
